Weight, Velocity, Chord Length, Wing Span, Lift Coefficient, Drag Coefficient
6000, 125.0, 5.50, 20.0, 8.3673, 9.0552
6000, 125.0, 5.50, 25.0, 6.6939, 5.0379
6000, 125.0, 5.50, 30.0, 5.5782, 3.1995
6000, 125.0, 5.50, 35.0, 4.7813, 2.2263
6000, 125.0, 5.50, 40.0, 4.1837, 1.6549
6000, 125.0, 5.50, 45.0, 3.7188, 1.2923
6000, 125.0, 5.50, 50.0, 3.3469, 1.0481
6000, 125.0, 5.75, 20.0, 8.0035, 8.6615
6000, 125.0, 5.75, 25.0, 6.4028, 4.8189
6000, 125.0, 5.75, 30.0, 5.3357, 3.0604
6000, 125.0, 5.75, 35.0, 4.5734, 2.1295
6000, 125.0, 5.75, 40.0, 4.0018, 1.5829
6000, 125.0, 5.75, 45.0, 3.5571, 1.2362
6000, 125.0, 5.75, 50.0, 3.2014, 1.0025
6000, 125.0, 6.00, 20.0, 7.6700, 8.3006
6000, 125.0, 6.00, 25.0, 6.1360, 4.6181
6000, 125.0, 6.00, 30.0, 5.1134, 2.9329
6000, 125.0, 6.00, 35.0, 4.3829, 2.0408
6000, 125.0, 6.00, 40.0, 3.8350, 1.5170
6000, 125.0, 6.00, 45.0, 3.4089, 1.1846
6000, 125.0, 6.00, 50.0, 3.0680, 0.9608
6000, 150.0, 4.00, 20.0, 7.9896, 6.4114
6000, 150.0, 4.00, 25.0, 6.3917, 3.6661
6000, 150.0, 4.00, 30.0, 5.3264, 2.3929
6000, 150.0, 4.00, 35.0, 4.5655, 1.7087
6000, 150.0, 4.00, 40.0, 3.9948, 1.3008
6000, 150.0, 4.00, 45.0, 3.5509, 1.0378
6000, 150.0, 4.00, 50.0, 3.1959, 0.8577
6000, 150.0, 4.25, 20.0, 7.5197, 6.0342
6000, 150.0, 4.25, 25.0, 6.0157, 3.4505
6000, 150.0, 4.25, 30.0, 5.0131, 2.2521
6000, 150.0, 4.25, 35.0, 4.2969, 1.6082
6000, 150.0, 4.25, 40.0, 3.7598, 1.2243
6000, 150.0, 4.25, 45.0, 3.3421, 0.9767
6000, 150.0, 4.25, 50.0, 3.0079, 0.8073
6000, 150.0, 4.50, 20.0, 7.1019, 5.6990
6000, 150.0, 4.50, 25.0, 5.6815, 3.2588
6000, 150.0, 4.50, 30.0, 4.7346, 2.1270
